customer_id,order_date,order_amount
C01473,2025-01-01,15.05
C00061,2025-01-01,45.88
C00697,2025-01-01,55.86
C00923,2025-01-01,26.69
C00602,2025-01-01,158.46
C00196,2025-01-01,133.84
C01091,2025-01-01,97.49
C01026,2025-01-01,57.84
C00808,2025-01-01,219.0
C01054,2025-01-01,71.88
C01076,2025-01-01,118.52
C00548,2025-01-01,190.76
C00426,2025-01-01,26.81
C01490,2025-01-01,329.28
C01056,2025-01-01,38.03
C00346,2025-01-01,60.8
C00826,2025-01-01,84.44
C01259,2025-01-01,6.39
C00173,2025-01-01,254.4
C00674,2025-01-01,76.72
C01330,2025-01-01,75.81
C00049,2025-01-01,18.79
C01173,2025-01-01,122.74
C00178,2025-01-01,213.26
C01521,2025-01-01,86.89
C01279,2025-01-01,218.28
C01168,2025-01-01,67.55
C00325,2025-01-01,598.71
C01016,2025-01-01,59.63
C01218,2025-01-01,55.53
C01232,2025-01-01,25.97
C00831,2025-01-01,66.61
C00569,2025-01-01,298.21
C00649,2025-01-01,80.97
C00574,2025-01-01,78.11
C00299,2025-01-01,89.04
C00214,2025-01-01,39.87
C00664,2025-01-01,71.89
C00709,2025-01-01,27.3
C00128,2025-01-01,24.29
C00762,2025-01-01,2.92
C01570,2025-01-01,60.9
C01258,2025-01-01,100.34
C00066,2025-01-01,63.21
C00954,2025-01-01,26.78
C00826,2025-01-01,17.6
C00696,2025-01-01,102.45
C00645,2025-01-01,60.41
C01510,2025-01-01,45.48
C01458,2025-01-01,188.12
C00569,2025-01-01,46.83
C00998,2025-01-01,48.4
C01232,2025-01-01,169.03
C00387,2025-01-01,164.79
C01227,2025-01-01,35.75
C01239,2025-01-01,233.51
C01024,2025-01-01,120.49
C01233,2025-01-01,17.73
C00860,2025-01-01,22.11
C01276,2025-01-01,33.23
C00126,2025-01-01,32.97
C00105,2025-01-01,23.01
C00887,2025-01-01,220.72
C00407,2025-01-01,12.87
C01134,2025-01-01,2503.67
C01206,2025-01-01,77.16
C00683,2025-01-01,20.86
C01069,2025-01-01,49.41
C00126,2025-01-01,52.82
C00770,2025-01-01,736.91
C00776,2025-01-01,80.52
C01048,2025-01-01,166.95
C00178,2025-01-01,102.36
C00364,2025-01-01,32.58
C00936,2025-01-01,27.81
C01444,2025-01-01,47.99
C00009,2025-01-01,228.18
C00186,2025-01-01,59.53
C01010,2025-01-01,110.13
C01349,2025-01-01,69.21
C00414,2025-01-01,190.71
C00088,2025-01-01,250.25
C01002,2025-01-01,112.33
C00647,2025-01-01,144.69
C00854,2025-01-01,16.94
C00105,2025-01-01,470.43
C00060,2025-01-01,39.85
C00517,2025-01-01,17.59
C00425,2025-01-01,57.71
C00022,2025-01-01,126.59
C00319,2025-01-01,61.72
C00162,2025-01-01,62.18
C00201,2025-01-01,463.69
C00081,2025-01-01,46.63
C01428,2025-01-01,12.1
C00558,2025-01-01,172.92
C01586,2025-01-01,38.71
C00330,2025-01-02,230.21
C00613,2025-01-02,54.92
C00126,2025-01-02,875.18
C01318,2025-01-02,13.7
C01262,2025-01-02,113.92
C00477,2025-01-02,117.91
C01497,2025-01-02,162.6
C00941,2025-01-02,83.06
C01278,2025-01-02,28.1
C00824,2025-01-02,19.5
C00265,2025-01-02,16.95
C01557,2025-01-02,39.43
C01272,2025-01-02,345.26
C00696,2025-01-02,35.69
C01052,2025-01-02,93.85
C01557,2025-01-02,10.31
C01211,2025-01-02,49.24
C00025,2025-01-02,71.43
C00139,2025-01-02,42.12
C01454,2025-01-02,127.7
C00558,2025-01-02,26.87
C00431,2025-01-02,121.43
C00832,2025-01-02,31.26
C00068,2025-01-02,45.27
C01532,2025-01-02,397.16
C00686,2025-01-02,101.98
C00967,2025-01-02,205.27
C00148,2025-01-02,79.35
C01020,2025-01-02,43.5
C01048,2025-01-02,52.04
C00404,2025-01-02,31.49
C00597,2025-01-02,70.02
C00196,2025-01-02,106.89
C00837,2025-01-02,34.43
C01133,2025-01-02,8.85
C00575,2025-01-02,216.89
C00095,2025-01-02,24.05
C00077,2025-01-02,77.4
C01040,2025-01-02,127.04
C01403,2025-01-02,178.58
C01050,2025-01-02,78.41
C01131,2025-01-02,8.89
C01156,2025-01-02,26.21
C01056,2025-01-02,96.49
C00810,2025-01-02,27.82
C00205,2025-01-02,8.29
C01282,2025-01-02,50.53
C01505,2025-01-02,39.32
C00826,2025-01-02,211.66
C00442,2025-01-02,36.8
C01207,2025-01-02,94.87
C00428,2025-01-02,199.25
C00845,2025-01-02,68.58
C01227,2025-01-02,86.92
C01073,2025-01-02,475.27
C01022,2025-01-02,80.83
C01527,2025-01-02,89.61
C00701,2025-01-02,320.3
C01142,2025-01-02,60.03
C01456,2025-01-02,27.39
C00881,2025-01-02,35.78
C01132,2025-01-02,51.88
C01568,2025-01-02,22.68
C00214,2025-01-02,28.73
C01558,2025-01-02,32.17
C00485,2025-01-02,96.64
C00706,2025-01-02,59.44
C00584,2025-01-02,46.72
C01300,2025-01-02,31.58
C01439,2025-01-02,54.44
C00685,2025-01-02,63.16
C01344,2025-01-02,17.99
C00034,2025-01-02,251.15
C00319,2025-01-02,81.34
C00830,2025-01-02,110.87
C00381,2025-01-02,24.4
C01351,2025-01-02,67.47
C01262,2025-01-02,6.81
C00890,2025-01-02,46.69
C00651,2025-01-02,30.36
C00266,2025-01-02,132.61
C01132,2025-01-02,81.4
C00382,2025-01-02,519.1
C00738,2025-01-02,491.85
C01350,2025-01-02,205.8
C00119,2025-01-02,112.65
C01263,2025-01-02,94.92
C01472,2025-01-02,94.74
C01313,2025-01-02,28.77
C00009,2025-01-02,151.47
C01316,2025-01-02,109.34
C00824,2025-01-02,51.78
C00506,2025-01-02,136.68
C00148,2025-01-02,132.6
C00237,2025-01-02,13.92
